CustomerID,Age,Gender,Region,Job,MaritalStatus,Dependents,ImmigrationStatus,Income,HouseholdIncome,CreditScore,DebtToIncomeRatio,HasDefaultedBefore,Class,BranchID,HistoryStart
100021,23,Male,Burnaby,Software Developer,Single,0,Citizen,139800.0,139800.0,615,0.133622217662425,0,Advance,10300-016,2020-05-30
100022,45,Male,Abbotsford,Manager,Married,0,Citizen,111700.0,219700.0,627,0.183924970153909,0,Advance,10670-016,2016-11-30
100023,65,Female,Vancouver,Manager,Divorced,0,Work Permit,131900.0,261600.0,664,0.0506889566471833,0,Advance,10030-016,2021-06-30
100024,51,Male,Langford,Engineer,Married,2,Citizen,88500.0,161700.0,714,0.323910616132872,0,Basic,10610-016,2021-05-30
100025,59,Male,Campbell River,Manager,Married,0,Work Permit,199800.0,353400.0,574,0.450710626536035,0,Advance,10650-016,2022-02-28
100026,23,Female,Abbotsford,Software Developer,Single,0,Citizen,165000.0,165000.0,596,0.290853407855423,0,Advance,10670-016,2020-05-30
100027,42,Male,Vancouver,Doctor,Widowed,0,Citizen,224200.0,404100.0,622,0.462879947524599,0,Premium,00280-016,2020-07-30
100028,54,Male,Richmond,Doctor,Married,0,Citizen,356400.0,692700.0,708,0.146366376914753,0,Premium,10120-016,2018-10-30
100029,33,Female,Vancouver,Doctor,Married,2,Permanent Resident,252400.0,432900.0,643,0.582909654880645,1,Basic,10230-016,2020-09-30
100030,43,Female,Prince George,Manager,Married,4,Citizen,159500.0,308800.0,619,0.379645743560156,0,Advance,10400-016,2018-05-30
100031,65,Female,Burnaby,Nurse,Married,1,Citizen,67300.0,131800.0,680,0.221703016103832,0,Basic,10730-016,2016-07-30
100032,46,Male,Penticton,Software Developer,Married,0,Citizen,83000.0,161000.0,630,0.375245999358719,0,Basic,01850-016,2017-11-30
100033,70,Male,Langley,Nurse,Married,1,Citizen,59800.0,113500.0,623,0.144837570413116,0,Basic,10680-016,2020-08-30
100034,48,Female,Campbell River,Manager,Married,1,Permanent Resident,126600.0,261400.0,679,0.616430618045615,0,Advance,10650-016,2022-02-28
100035,63,Female,Burnaby,Technician,Single,0,Permanent Resident,73400.0,73400.0,610,0.399080878664004,0,Basic,10300-016,2022-01-30
100036,49,Female,Campbell River,Veterinarian,Single,0,Permanent Resident,183000.0,183000.0,643,0.436236586774798,0,Advance,10650-016,2023-03-30
100037,37,Female,Surrey,Veterinarian,Married,2,Citizen,310200.0,624500.0,676,0.176108179100646,0,Premium,10130-016,2016-06-30
100038,36,Female,Surrey,Engineer,Married,0,Citizen,74700.0,142800.0,739,0.304025808412415,0,Basic,10130-016,2018-07-30
100039,68,Female,Richmond,Veterinarian,Married,1,Work Permit,134500.0,255200.0,617,0.245951166342414,0,Advance,10070-016,2021-10-30
100040,72,Female,Kamloops,Veterinarian,Married,0,Permanent Resident,205800.0,368300.0,704,0.125146017189692,0,Premium,10460-016,2022-12-30
100041,65,Male,Vancouver,Software Developer,Single,0,Citizen,168900.0,168900.0,721,0.248046206391432,0,Advance,00280-016,2016-01-30
100042,73,Female,Abbotsford,Doctor,Single,0,Citizen,386500.0,386500.0,563,0.16228968957774,0,Premium,10670-016,2018-01-30
100043,24,Male,Abbotsford,Nurse,Widowed,0,Permanent Resident,74600.0,128800.0,643,0.244274204027725,0,Basic,10670-016,2023-04-30
100044,58,Female,Victoria,Technician,Married,0,Citizen,70700.0,133300.0,627,0.256432201684228,0,Basic,10580-016,2017-06-30
100045,72,Male,Chilliwack,Technician,Widowed,0,Citizen,78600.0,147400.0,636,1.1573113173305,0,Basic,10660-016,2015-09-30
100046,28,Female,Kamloops,Software Developer,Widowed,0,Citizen,170800.0,298600.0,638,0.474258223062111,0,Advance,10460-016,2019-12-30
100047,42,Male,Surrey,Software Developer,Single,0,Work Permit,154100.0,154100.0,675,0.437526853088715,0,Advance,10130-016,2021-08-30
100048,30,Female,Vancouver,Veterinarian,Married,1,Citizen,255600.0,476900.0,659,0.239557124084163,0,Premium,10220-016,2018-08-30
100049,60,Female,Vancouver,Technician,Widowed,0,Citizen,74100.0,143800.0,649,0.119138562294517,0,Basic,10220-016,2020-11-30
100050,39,Female,Nanaimo,Engineer,Married,4,Permanent Resident,97600.0,195200.0,571,0.171275028765078,0,Basic,10640-016,2021-07-30
100051,25,Female,Abbotsford,Engineer,Widowed,0,Citizen,142400.0,247900.0,594,0.280606645403746,1,Basic,10670-016,2018-05-30
100052,46,Female,Vancouver,Nurse,Single,0,Work Permit,59100.0,59100.0,572,0.17383204061717,0,Basic,00090-016,2021-05-30
100053,35,Male,Abbotsford,Engineer,Married,0,Citizen,71800.0,148100.0,645,0.358837916209559,0,Basic,10670-016,2018-07-30
100054,71,Female,Vancouver,Technician,Married,1,Permanent Resident,50500.0,105200.0,637,0.0588425995640753,0,Basic,00050-016,2021-03-30
100055,30,Male,Nanaimo,Veterinarian,Divorced,0,Citizen,167100.0,294000.0,717,0.50113674559652,0,Advance,10640-016,2017-09-30
100056,47,Female,Abbotsford,Technician,Single,0,Citizen,70700.0,70700.0,558,0.451344484004617,1,Basic,10670-016,2020-08-30
100057,74,Female,Abbotsford,Manager,Widowed,0,Citizen,108100.0,204700.0,615,0.315196914211792,0,Basic,10670-016,2020-01-30
100058,23,Male,Kelowna,Technician,Single,0,Citizen,63300.0,63300.0,623,0.364570881504952,1,Basic,10250-016,2020-10-30
100059,41,Male,Kelowna,Veterinarian,Married,0,Citizen,326900.0,680300.0,606,0.814358733906791,0,Premium,10250-016,2017-02-28
100060,49,Male,Abbotsford,Engineer,Married,2,Citizen,107100.0,202800.0,683,0.513248064671464,0,Basic,10670-016,2021-03-30
100061,68,Female,Surrey,Doctor,Married,1,Citizen,440700.0,849800.0,559,0.190734790273398,1,Basic,10130-016,2016-10-30
100062,28,Male,Campbell River,Nurse,Married,0,Citizen,61000.0,109800.0,567,0.027781967338021,0,Basic,10650-016,2020-04-30
100063,65,Female,Richmond,Manager,Single,0,Citizen,129600.0,129600.0,630,0.525443835005155,1,Basic,10070-016,2020-05-30
100064,29,Female,Vancouver,Engineer,Married,1,Citizen,127000.0,258100.0,649,0.305927324780475,0,Advance,10100-016,2017-09-30
100065,68,Female,Vancouver,Nurse,Single,0,Citizen,59200.0,59200.0,566,0.128936290742583,0,Basic,10100-016,2016-07-30
100066,56,Female,Langley,Engineer,Single,0,Citizen,71600.0,71600.0,716,0.0736360929009034,0,Basic,10680-016,2019-02-28
100067,35,Male,North Vancouver,Manager,Divorced,0,Citizen,180300.0,361500.0,686,0.543911752937906,0,Advance,10260-016,2016-09-30
100068,38,Female,Surrey,Technician,Married,0,Citizen,70600.0,132400.0,574,0.399865840847926,1,Basic,10130-016,2019-10-30
100069,57,Male,Vancouver,Veterinarian,Married,0,Citizen,156900.0,280000.0,625,0.315103696843805,0,Advance,00050-016,2017-11-30
100070,71,Male,Langley,Doctor,Widowed,0,Permanent Resident,205100.0,405200.0,678,0.335491923507483,0,Premium,10680-016,2022-02-28
100071,61,Female,New Westminster,Manager,Widowed,0,Citizen,217500.0,414600.0,564,0.370876631909096,0,Premium,10040-016,2021-05-30
100072,25,Male,Surrey,Technician,Married,1,Citizen,62700.0,121400.0,627,0.163861188904337,0,Basic,10200-016,2018-12-30
100073,23,Female,Kelowna,Software Developer,Single,1,Citizen,160400.0,160400.0,606,0.480266633954406,0,Advance,10430-016,2020-05-30
100074,27,Female,Nanaimo,Doctor,Single,0,Citizen,174600.0,174600.0,622,0.222239193834962,0,Advance,10640-016,2018-01-30
100075,63,Female,Vernon,Engineer,Married,4,Permanent Resident,61700.0,112000.0,806,0.361099087974299,0,Basic,10420-016,2020-07-30
100076,25,Female,Surrey,Engineer,Divorced,1,Permanent Resident,103600.0,199700.0,602,0.144304117745471,0,Basic,10200-016,2021-12-30
100077,50,Male,Vancouver,Doctor,Married,3,Work Permit,273700.0,477800.0,671,0.188036924377275,0,Premium,10760-016,2022-05-30
100078,39,Male,Vancouver,Software Developer,Divorced,0,Work Permit,89500.0,174000.0,624,0.172473604131788,0,Basic,00020-016,2022-08-30
100079,47,Female,Burnaby,Veterinarian,Single,0,Citizen,88200.0,88200.0,604,0.256904731734337,0,Basic,00140-016,2018-12-30
100080,65,Female,Abbotsford,Technician,Married,0,Citizen,69800.0,141200.0,670,0.336592843287296,0,Basic,10670-016,2018-09-30
100081,55,Male,Vancouver,Engineer,Single,0,Citizen,113400.0,113400.0,664,0.0870045845047944,0,Advance,10220-016,2018-07-30
100082,31,Female,Surrey,Veterinarian,Single,0,Permanent Resident,197300.0,197300.0,663,0.424174236756916,1,Basic,10200-016,2022-09-30
100083,57,Male,Vancouver,Software Developer,Married,4,Citizen,178600.0,308400.0,575,0.129840252275732,0,Advance,10150-016,2015-07-30
100084,35,Female,Port Coquitlam,Veterinarian,Married,2,Citizen,90800.0,184200.0,699,0.0373315815127165,0,Basic,10710-016,2021-03-30
100085,52,Male,Surrey,Engineer,Married,0,Citizen,87100.0,157300.0,684,0.34780948373505,0,Basic,10130-016,2017-12-30
100086,69,Female,Victoria,Nurse,Married,0,Citizen,55400.0,113800.0,587,0.163297602652156,1,Basic,10600-016,2018-09-30
100087,36,Female,Vancouver,Technician,Married,1,Citizen,52900.0,107900.0,629,0.225410406195849,0,Basic,00110-016,2021-03-30
100088,29,Male,Vancouver,Nurse,Married,3,Citizen,59300.0,123500.0,661,0.0480603978068381,0,Basic,10380-016,2020-10-30
100089,35,Female,Surrey,Doctor,Married,1,Citizen,326600.0,573500.0,622,0.527024766946479,0,Premium,10200-016,2019-08-30
100090,44,Male,Abbotsford,Veterinarian,Single,0,Citizen,226900.0,226900.0,675,0.18665759431509,0,Premium,10670-016,2019-03-30
100091,61,Male,Kelowna,Technician,Married,0,Citizen,56000.0,100000.0,671,0.225682598637081,0,Basic,10430-016,2020-04-30
100092,42,Male,Burnaby,Software Developer,Married,2,Citizen,148800.0,256000.0,670,0.285141457349585,0,Advance,00140-016,2017-08-30
100093,37,Male,Surrey,Technician,Married,2,Citizen,50900.0,95900.0,633,0.242137025825987,0,Basic,10200-016,2020-11-30
100094,66,Male,Vancouver,Technician,Married,1,Citizen,54400.0,112200.0,639,0.151482856443641,0,Basic,00050-016,2016-05-30
100095,39,Female,Coquitlam,Software Developer,Widowed,0,Permanent Resident,158300.0,322600.0,695,0.337539064100397,0,Advance,10170-016,2020-06-30
100096,68,Male,Prince George,Doctor,Single,0,Citizen,226000.0,226000.0,723,0.0795715916402901,0,Premium,10400-016,2016-02-29
100097,74,Female,Kamloops,Technician,Single,0,Citizen,67400.0,67400.0,645,1.12276246986796,0,Basic,10460-016,2018-10-30
100098,45,Female,Abbotsford,Doctor,Married,3,Citizen,249200.0,434200.0,673,0.182961547684221,0,Premium,10670-016,2021-04-30
100099,47,Female,Port Coquitlam,Doctor,Married,4,Citizen,405100.0,755200.0,626,0.413936486685455,0,Premium,10710-016,2017-10-30
100100,46,Male,Langley,Doctor,Married,2,Work Permit,382000.0,777900.0,581,0.567761367544802,1,Basic,10680-016,2021-08-30
100101,66,Male,Langley,Engineer,Single,0,Citizen,115200.0,115200.0,739,0.287864333763584,0,Advance,10680-016,2019-05-30
100102,62,Male,Port Coquitlam,Manager,Married,1,Permanent Resident,155600.0,305600.0,704,0.106133896468762,0,Advance,10710-016,2023-04-30
100103,50,Male,Kelowna,Doctor,Widowed,1,Citizen,161200.0,316500.0,705,0.287485615286969,0,Advance,10250-016,2021-01-30
100104,36,Male,North Vancouver,Software Developer,Married,0,Citizen,167400.0,326800.0,671,0.104531650050085,0,Advance,00500-016,2018-11-30
100105,66,Male,Nanaimo,Manager,Divorced,1,Permanent Resident,189200.0,371600.0,583,0.0961518014635662,1,Basic,10640-016,2021-12-30
100106,22,Male,Surrey,Software Developer,Single,0,Citizen,131100.0,131100.0,658,0.148956400665995,0,Advance,10130-016,2021-05-30
100107,46,Male,Vernon,Software Developer,Single,0,Citizen,154500.0,154500.0,652,0.310541236679842,0,Advance,10420-016,2019-06-30
100108,28,Female,Langley,Nurse,Married,1,Work Permit,88700.0,160000.0,622,0.254718170915306,0,Basic,10680-016,2021-06-30
100109,30,Male,Kamloops,Nurse,Widowed,0,Citizen,61000.0,124400.0,660,0.21538175678463,0,Basic,10460-016,2019-09-30
100110,45,Male,Kelowna,Technician,Single,0,Citizen,72600.0,72600.0,683,0.468518733593927,0,Basic,10250-016,2017-04-30
100111,22,Female,Langley,Software Developer,Single,0,Citizen,65500.0,65500.0,564,0.332741328655134,0,Basic,10680-016,2021-05-30
100112,65,Female,Coquitlam,Doctor,Married,2,Work Permit,364900.0,752000.0,732,0.231013355278466,0,Premium,10170-016,2023-05-30
100113,29,Male,West Vancouver,Technician,Single,0,Permanent Resident,77700.0,77700.0,697,0.215297902192156,0,Basic,00510-016,2021-08-30
100114,45,Male,Kelowna,Veterinarian,Married,3,Citizen,310100.0,594900.0,704,0.526859792757604,0,Premium,10430-016,2017-07-30
100115,32,Female,Kamloops,Veterinarian,Widowed,0,Work Permit,292800.0,611700.0,629,0.238535569525707,0,Premium,10460-016,2021-05-30
100116,72,Male,Kelowna,Veterinarian,Divorced,0,Citizen,198700.0,344400.0,713,0.322829147489263,0,Advance,10250-016,2017-06-30
100117,38,Male,Vancouver,Engineer,Married,2,Citizen,122800.0,226900.0,695,0.362406583500076,0,Advance,10060-016,2017-09-30
100118,29,Male,Kelowna,Software Developer,Married,2,Citizen,88100.0,174500.0,578,0.118799659101986,0,Basic,10430-016,2017-05-30
100119,56,Female,Surrey,Veterinarian,Widowed,0,Permanent Resident,248400.0,483400.0,679,0.250644615787033,0,Premium,10200-016,2022-08-30
100120,56,Female,Vancouver,Engineer,Married,4,Permanent Resident,69700.0,132800.0,632,0.486128606185487,0,Basic,00110-016,2020-09-30
100121,54,Female,Coquitlam,Veterinarian,Single,0,Citizen,288700.0,288700.0,609,0.492292305187802,0,Premium,10170-016,2018-03-30
100122,26,Male,Surrey,Technician,Single,0,Citizen,79400.0,79400.0,706,0.107870979675295,0,Basic,10130-016,2017-05-30
100123,63,Female,Langford,Nurse,Single,0,Work Permit,69800.0,69800.0,736,0.557751696281197,0,Basic,10610-016,2022-06-30
100124,60,Male,North Vancouver,Technician,Single,0,Permanent Resident,65400.0,65400.0,568,0.384733098316647,0,Basic,10260-016,2021-05-30
100125,62,Male,Abbotsford,Engineer,Married,4,Citizen,96700.0,183900.0,683,0.132236102729932,0,Basic,10670-016,2017-09-30
100126,49,Male,Langley,Software Developer,Divorced,0,Citizen,160200.0,336000.0,624,0.287875779337446,0,Advance,10680-016,2016-09-30
100127,28,Female,Kamloops,Manager,Married,1,Permanent Resident,130900.0,253100.0,591,0.115855148631354,0,Advance,10460-016,2020-07-30
100128,30,Male,Kelowna,Doctor,Married,2,Permanent Resident,284400.0,586000.0,649,0.188539060488839,0,Premium,10250-016,2022-03-30
100129,29,Female,Abbotsford,Technician,Single,0,Work Permit,65600.0,65600.0,577,1.15923626559263,1,Basic,10670-016,2022-10-30
100130,33,Female,Richmond,Software Developer,Single,0,Citizen,127000.0,127000.0,688,0.53111774756392,0,Advance,10120-016,2018-10-30
100131,55,Male,Victoria,Doctor,Single,0,Permanent Resident,252000.0,252000.0,674,0.0624070073482031,0,Premium,10580-016,2021-11-30
100132,54,Male,Victoria,Nurse,Married,4,Work Permit,65100.0,134000.0,644,0.428105143710141,1,Basic,10600-016,2022-11-30
100133,69,Female,Coquitlam,Nurse,Single,0,Citizen,80300.0,80300.0,602,0.095889154987562,0,Basic,10170-016,2020-08-30
100134,44,Female,Burnaby,Doctor,Single,0,Permanent Resident,165500.0,165500.0,584,0.347153566573687,0,Advance,00140-016,2023-04-30
100135,45,Male,Port Coquitlam,Nurse,Widowed,0,Work Permit,72300.0,125300.0,669,0.512055265872304,0,Basic,10710-016,2021-11-30
100136,58,Male,Vancouver,Software Developer,Married,1,Citizen,113100.0,212400.0,634,0.132165511098736,0,Advance,00050-016,2017-09-30
100137,56,Female,Surrey,Technician,Single,0,Citizen,63700.0,63700.0,573,0.247882939280699,0,Basic,10130-016,2020-07-30
100138,65,Male,Surrey,Software Developer,Single,0,Citizen,157000.0,157000.0,631,0.244777451193762,0,Advance,10130-016,2015-08-30
100139,61,Male,Prince George,Software Developer,Married,0,Citizen,150900.0,257900.0,569,0.338594971205019,0,Advance,10400-016,2016-01-30
100140,43,Female,Coquitlam,Doctor,Married,1,Citizen,400700.0,815200.0,632,0.0296343982070848,0,Premium,10170-016,2015-12-30
100141,48,Male,Abbotsford,Manager,Widowed,0,Citizen,119400.0,227000.0,643,0.194739777476323,0,Advance,10670-016,2017-08-30
100142,56,Female,Coquitlam,Manager,Divorced,1,Permanent Resident,142900.0,276500.0,596,0.154550727971289,0,Advance,10170-016,2021-01-30
100143,22,Female,Burnaby,Technician,Single,0,Citizen,79500.0,79500.0,659,0.185508953329426,0,Basic,10300-016,2021-05-30
100144,56,Female,Kelowna,Doctor,Divorced,0,Work Permit,272700.0,495200.0,632,0.468943440778673,0,Premium,10430-016,2022-03-30
100145,58,Male,Surrey,Manager,Single,1,Citizen,201400.0,201400.0,632,0.0957115187587831,0,Premium,10200-016,2015-10-30
100146,68,Male,Vancouver,Nurse,Married,0,Citizen,86300.0,169500.0,689,0.239448031567768,0,Basic,10060-016,2019-06-30
100147,35,Female,Abbotsford,Manager,Married,3,Citizen,194300.0,332700.0,631,0.0973794381627727,0,Advance,10670-016,2015-10-30
100148,24,Male,Coquitlam,Nurse,Single,0,Citizen,87900.0,87900.0,743,0.311962267155676,0,Basic,10170-016,2021-04-30
100149,22,Male,Surrey,Technician,Single,0,Citizen,61000.0,61000.0,637,0.0829554634864685,0,Basic,10130-016,2021-05-30
100150,26,Male,Prince George,Software Developer,Married,1,Citizen,66600.0,135100.0,700,0.142720768643549,0,Basic,10400-016,2017-10-30
100151,47,Male,Vancouver,Software Developer,Widowed,0,Permanent Resident,149300.0,258000.0,727,0.0143571004003991,0,Advance,10030-016,2020-11-30
100152,35,Female,Surrey,Manager,Single,0,Permanent Resident,177400.0,177400.0,716,0.406206722134924,0,Advance,10130-016,2022-06-30
100153,60,Male,Richmond,Nurse,Divorced,0,Permanent Resident,68900.0,132200.0,651,0.18785465275913,0,Basic,10070-016,2020-09-30
100154,48,Female,Vancouver,Engineer,Single,0,Permanent Resident,107000.0,107000.0,615,0.233460579062912,0,Basic,10380-016,2022-02-28
100155,30,Male,Chilliwack,Veterinarian,Married,1,Citizen,249100.0,463200.0,737,0.116420483936919,0,Premium,10660-016,2016-08-30
100156,36,Female,Kelowna,Engineer,Married,2,Citizen,70700.0,127500.0,752,0.239626654991281,0,Basic,10430-016,2015-11-30
100157,36,Male,Maple Ridge,Veterinarian,Married,4,Citizen,178700.0,342000.0,672,1.2046211704296,1,Basic,10690-016,2019-04-30
100158,47,Male,Surrey,Engineer,Married,1,Permanent Resident,122600.0,216300.0,676,0.068457475881808,0,Advance,10130-016,2023-05-30
100159,63,Female,Kelowna,Software Developer,Single,0,Citizen,187200.0,187200.0,701,0.231461201406664,0,Advance,10430-016,2020-08-30
100160,34,Female,Surrey,Doctor,Widowed,0,Citizen,369800.0,646400.0,570,0.288308766172758,1,Basic,10200-016,2015-06-30
100161,72,Female,Surrey,Software Developer,Divorced,0,Citizen,176600.0,367100.0,732,0.221428266472023,0,Advance,10200-016,2015-06-30
100162,53,Male,Burnaby,Veterinarian,Single,0,Citizen,122200.0,122200.0,640,0.267281465907655,0,Advance,00140-016,2016-10-30
100163,60,Male,New Westminster,Doctor,Married,1,Citizen,252800.0,519100.0,588,0.140235062337962,0,Premium,10040-016,2017-07-30
100164,70,Male,Richmond,Nurse,Married,2,Citizen,62000.0,118300.0,676,0.206506078809786,0,Basic,10290-016,2015-11-30
100165,73,Female,Vancouver,Manager,Widowed,0,Citizen,116000.0,231400.0,681,0.270770281217698,1,Basic,00020-016,2018-04-30
100166,53,Female,Maple Ridge,Engineer,Widowed,0,Citizen,136000.0,243900.0,658,0.17544692284284,0,Advance,10690-016,2017-02-28
100167,25,Female,Kamloops,Nurse,Married,0,Citizen,69200.0,144800.0,599,0.35457364536772,0,Basic,10460-016,2021-03-30
100168,51,Female,Vancouver,Nurse,Married,1,Citizen,63200.0,132000.0,574,0.19987496600895,0,Basic,10060-016,2016-08-30
100169,58,Male,Maple Ridge,Manager,Single,0,Citizen,145200.0,145200.0,654,0.372577787029783,0,Advance,10690-016,2018-04-30
100170,44,Male,Burnaby,Nurse,Single,1,Permanent Resident,72500.0,72500.0,541,0.260627120446401,1,Basic,00140-016,2021-08-30
100171,60,Female,White Rock,Manager,Divorced,0,Citizen,189400.0,350300.0,670,0.511791558882031,0,Advance,10570-016,2016-12-30
100172,66,Male,Chilliwack,Technician,Single,0,Permanent Resident,73000.0,73000.0,770,0.62693145886608,0,Basic,10660-016,2022-07-30
100173,36,Female,Nanaimo,Manager,Married,2,Citizen,167200.0,346600.0,762,0.198284675217878,0,Advance,10640-016,2018-01-30
100174,64,Male,Prince George,Veterinarian,Married,3,Citizen,269100.0,515500.0,630,0.320553404323684,0,Premium,10400-016,2017-05-30
100175,50,Female,Vancouver,Engineer,Married,2,Citizen,132100.0,227800.0,582,0.0953533726653822,0,Advance,00090-016,2016-06-30
100176,57,Male,Surrey,Doctor,Single,0,Citizen,432400.0,432400.0,581,0.282225117566555,0,Premium,10200-016,2021-05-30
100177,34,Female,New Westminster,Doctor,Single,0,Citizen,250400.0,250400.0,621,0.0327663081556376,0,Premium,10040-016,2019-03-30
100178,53,Female,Burnaby,Engineer,Married,0,Citizen,120000.0,205200.0,668,0.212324590460052,0,Advance,10300-016,2019-09-30
100179,28,Female,Langford,Doctor,Single,0,Citizen,434500.0,434500.0,556,0.156364282139145,0,Premium,10610-016,2016-08-30
100180,72,Female,Kamloops,Manager,Married,2,Citizen,218400.0,418500.0,623,0.423390953144112,0,Premium,10460-016,2020-05-30
100181,43,Male,Maple Ridge,Veterinarian,Single,0,Citizen,207900.0,207900.0,685,0.122111692094941,0,Premium,10690-016,2015-09-30
100182,49,Male,Coquitlam,Technician,Single,0,Permanent Resident,54400.0,54400.0,572,0.359908268319033,0,Basic,10170-016,2020-09-30
100183,23,Male,Langford,Technician,Single,0,Citizen,63600.0,63600.0,726,0.672934453590424,0,Basic,10610-016,2020-05-30
100184,63,Male,Surrey,Engineer,Married,1,Work Permit,71000.0,132600.0,678,0.540590815983486,0,Basic,10200-016,2022-06-30
100185,66,Female,Surrey,Technician,Married,2,Work Permit,64700.0,118300.0,623,0.348189925375338,0,Basic,10200-016,2022-01-30
100186,74,Female,Vancouver,Nurse,Married,5,Permanent Resident,63100.0,124100.0,564,0.31189804859632,1,Basic,10150-016,2021-01-30
100187,27,Female,Langley,Software Developer,Married,2,Citizen,182800.0,371400.0,574,0.495476064139077,1,Basic,10680-016,2017-11-30
100188,49,Female,Vancouver,Nurse,Single,0,Citizen,56000.0,56000.0,729,0.141101226153869,0,Basic,10030-016,2020-11-30
100189,49,Female,Coquitlam,Engineer,Single,0,Work Permit,126400.0,126400.0,683,0.104493381229546,0,Advance,10170-016,2021-11-30
100190,65,Female,Surrey,Doctor,Married,1,Citizen,397400.0,704200.0,606,0.258352495609951,1,Basic,10130-016,2015-07-30
100191,65,Male,Burnaby,Doctor,Widowed,0,Citizen,294400.0,522700.0,776,0.162030350267077,0,Premium,10300-016,2021-01-30
100192,41,Male,Richmond,Technician,Married,2,Citizen,50800.0,97800.0,631,1.37324910660145,0,Basic,10070-016,2020-01-30
100193,51,Male,Surrey,Manager,Widowed,0,Citizen,113300.0,206200.0,664,0.129047620717748,0,Advance,10130-016,2021-01-30
100194,32,Female,Burnaby,Veterinarian,Married,1,Permanent Resident,231100.0,430100.0,676,0.409995718852057,1,Basic,10730-016,2020-10-30
100195,49,Female,Port Coquitlam,Software Developer,Divorced,0,Work Permit,105900.0,212400.0,759,0.168361816252855,0,Basic,10710-016,2022-07-30
100196,46,Female,Burnaby,Manager,Married,0,Permanent Resident,129400.0,254600.0,704,0.0913318627588317,0,Advance,10730-016,2022-09-30
100197,60,Female,Langford,Engineer,Single,0,Citizen,116100.0,116100.0,659,0.0705655968049343,0,Advance,10610-016,2020-12-30
100198,54,Male,Surrey,Veterinarian,Single,0,Citizen,270000.0,270000.0,575,0.239641837401914,1,Basic,10200-016,2018-09-30
100199,22,Female,Burnaby,Technician,Single,0,Citizen,69800.0,69800.0,699,0.175158087733437,0,Basic,10730-016,2021-05-30
100200,48,Male,Prince George,Veterinarian,Married,1,Citizen,210000.0,435500.0,728,0.385124830327381,0,Premium,10400-016,2020-11-30
100201,73,Female,West Vancouver,Doctor,Married,3,Citizen,292600.0,557200.0,675,0.514718082536142,0,Premium,00510-016,2016-06-30
100202,34,Female,Prince George,Manager,Widowed,0,Citizen,150600.0,286100.0,755,0.169609316638119,0,Advance,10400-016,2018-05-30
