CustomerID,NumOpenAccounts,NumClosedAccounts,NumLatePayments,AvgAccountAgeMonths,CreditUtilization,LoanToValue,NumMortgages,TotalDebt,RecurringPayment,NumHardInquiries
100134,4,4,2,115,0.16,1.3,2,15942.85,989.57,2
100135,2,1,3,76,0.92,0.88,2,41312.27,1732.49,1
100136,4,3,2,221,0.12,1.2,2,147698.57,2360.77,7
100137,15,6,2,186,0.45,1.28,4,58077.95,2365.68,0
100138,13,4,3,25,0.98,0.54,3,93724.48,1541.19,8
100139,3,3,4,188,0.98,0.74,3,35505.85,1804.25,5
100140,6,8,0,56,0.1,0.64,1,6287.03,338.5,6
100141,5,10,2,238,0.19,0.37,2,57236.02,1870.62,9
100142,14,2,3,87,0.45,1.26,3,97898.99,2416.61,6
100143,14,7,1,73,0.12,1.47,3,83001.34,1870.24,3
100144,5,2,1,27,0.43,1.15,0,199777.97,688.17,3
100145,2,10,2,24,0.86,1.11,0,136154.96,1235.89,7
100146,15,8,2,54,0.2,1.15,5,80888.54,1568.23,8
100147,15,0,2,32,0.62,0.74,0,173436.78,802.76,4
100148,14,1,1,108,0.54,1.46,1,170632.64,2013.83,6
100149,4,6,1,52,0.85,0.42,2,27826.46,446.26,1
100150,2,9,2,239,0.78,0.92,0,10912.62,1948.2,9
100151,7,6,1,137,0.25,1.06,0,118231.14,303.15,8
100152,10,5,2,181,0.86,0.56,5,90536.91,1119.17,2
100153,10,9,6,118,0.6,0.79,2,48786.5,1615.36,7
100154,15,9,2,18,0.52,1.0,5,128486.79,1546.06,8
100155,8,1,1,27,0.91,0.93,5,50816.91,1918.95,5
100156,2,5,2,85,0.39,0.91,1,27853.39,875.12,8
100157,5,5,0,18,0.18,0.6,5,153922.43,882.93,4
100158,2,8,2,54,0.35,0.31,1,33769.71,1625.03,4
100159,10,0,2,102,0.84,1.35,0,163500.98,1112.0,7
100160,8,2,5,160,0.53,1.24,0,125622.81,657.03,6
100161,7,8,2,57,0.14,0.5,0,132392.42,2042.29,6
100162,1,5,1,214,0.29,0.58,3,174797.33,2142.69,1
100163,2,0,5,158,0.77,1.32,3,95469.34,577.02,9
100164,10,8,4,184,0.95,1.48,3,177293.53,2135.06,3
100165,7,3,2,177,0.31,0.68,2,5583.35,447.51,2
100166,14,1,1,83,0.75,1.39,0,43403.65,663.96,10
100167,9,1,3,73,0.34,1.48,4,63679.26,1155.78,7
100168,8,10,2,104,1.0,0.77,1,39069.96,1049.78,6
100169,3,4,2,191,0.94,0.35,3,95074.55,1611.73,4
100170,8,5,3,223,0.75,0.32,1,174617.77,571.49,1
100171,9,4,3,45,0.59,0.76,5,24889.7,292.0,5
100172,5,2,4,19,0.46,0.96,2,196165.31,1146.04,9
100173,12,4,0,132,0.33,1.16,5,92170.26,1119.29,9
100174,4,8,3,74,0.63,1.37,4,178198.85,135.8,0
100175,5,5,0,109,0.48,1.43,5,5413.24,2392.85,9
100176,10,8,0,212,0.42,1.42,2,53682.44,381.3,10
100177,2,7,3,71,0.87,1.25,2,147319.4,1842.14,6
100178,4,0,5,103,0.55,0.68,0,198202.54,1445.44,1
100179,15,3,0,123,0.24,1.01,5,38030.52,1638.32,4
100180,6,3,4,95,0.31,0.7,0,97345.0,1488.15,4
100181,12,7,2,237,0.34,0.37,2,94241.98,1144.38,8
100182,6,2,2,178,0.32,0.55,1,2437.38,128.71,2
100183,2,7,1,116,0.91,0.67,0,24065.37,1411.76,1
100184,14,5,1,124,0.79,1.04,1,28140.06,912.13,8
100185,15,10,3,108,0.72,1.35,1,132681.53,1947.61,9
100186,6,7,1,132,0.55,0.43,4,74526.27,2096.26,10
100187,13,3,1,98,0.39,0.86,4,107866.42,233.82,6
100188,4,3,5,51,0.5,1.29,4,29304.99,2344.54,10
100189,2,1,3,153,0.77,0.91,1,22564.02,1198.03,5
100190,8,5,2,187,0.8,1.22,5,58520.85,637.44,4
100191,10,5,0,38,0.95,0.51,0,34745.6,180.83,9
100192,4,8,4,36,0.43,1.3,2,4641.77,1583.95,4
100193,14,1,2,101,0.29,1.27,1,176671.2,234.79,5
100194,7,0,5,234,0.9,0.73,5,40677.46,1812.22,6
100195,7,2,5,191,0.12,1.13,0,74800.74,1321.48,1
100196,10,2,2,29,0.22,0.98,3,148983.19,927.76,7
100197,2,2,2,206,0.95,1.49,2,50323.52,954.28,9
100198,11,7,2,44,0.79,1.21,0,123296.18,1597.39,1
100199,3,10,3,200,0.3,1.23,5,161999.19,222.64,3
100200,11,0,2,188,0.28,0.93,2,77163.08,1550.18,0
100201,8,2,3,58,0.22,1.42,3,3734.62,676.94,4
100202,1,3,0,104,0.24,1.09,2,8932.67,2489.36,2
100203,5,4,4,112,0.21,0.77,3,134155.73,593.14,7
100204,9,8,2,173,0.78,0.65,2,67110.84,1940.8,1
100205,10,4,1,168,0.32,0.3,3,166498.34,106.54,10
100206,4,8,2,162,0.84,1.11,1,175278.26,1322.25,3
100207,14,1,2,69,0.69,1.2,5,128156.53,1192.74,9
100208,14,5,1,67,0.55,1.34,0,148575.52,1429.63,8
100209,11,10,2,128,0.34,1.21,1,73838.2,1056.11,5
100210,12,8,1,53,0.83,1.28,4,194652.15,1670.11,3
100211,15,2,2,17,0.72,0.43,3,91375.05,603.19,3
100212,5,10,2,116,0.96,1.09,0,195780.32,2119.83,6
100213,3,4,4,37,0.29,0.56,2,45142.87,455.8,5
100214,11,9,1,180,0.8,0.86,5,182008.2,2138.22,9
100215,9,10,1,75,0.18,0.87,5,146705.11,205.27,5
100216,7,2,3,44,0.56,0.46,0,194656.69,829.66,7
100217,13,3,4,176,0.71,0.96,1,129460.71,1711.9,3
100218,8,4,1,184,0.58,0.82,4,90421.86,2391.71,1
100219,4,8,0,90,0.2,1.0,4,7040.14,1447.51,7
100220,15,10,7,180,0.72,1.5,1,174973.97,1675.33,4
100221,10,10,2,166,0.61,0.88,1,59459.5,2021.09,9
100222,13,0,2,55,0.27,1.03,5,14455.95,2232.2,0
100223,15,10,4,196,0.37,1.4,4,144647.26,580.46,7
100224,10,10,3,154,0.84,1.04,2,25005.04,2454.31,3
100225,10,9,2,87,0.52,0.34,2,70463.43,2317.5,2
100226,1,4,2,197,0.21,0.62,3,137102.85,2389.09,7
100227,9,4,7,108,0.49,1.22,2,81392.66,562.41,8
100228,11,9,2,234,0.12,1.1,4,103202.51,2034.74,0
100229,6,9,2,122,0.16,0.63,4,122639.47,2251.47,3
100230,6,3,2,84,0.27,1.01,2,66239.91,449.91,3
100231,8,4,1,207,0.62,1.01,3,24487.31,1057.57,9
100232,11,7,1,199,0.52,0.99,2,51147.69,384.39,4
100233,12,9,2,188,0.21,1.15,3,160994.79,1360.75,5
100234,12,10,3,187,0.92,1.07,3,76498.51,592.34,2
100235,14,4,3,182,0.89,0.56,0,186766.79,894.23,0
100236,14,9,1,33,0.9,1.16,5,194070.09,361.12,8
100237,2,4,1,95,0.11,0.57,5,85077.35,1753.18,3
100238,7,9,0,125,0.86,0.88,3,153356.5,2326.32,1
100239,2,3,1,239,0.39,0.47,4,45158.6,238.05,5
100240,12,2,0,185,0.77,0.98,4,114457.53,1219.98,10
100241,13,9,0,150,0.29,1.48,4,177874.94,2458.34,0
100242,15,7,2,184,0.26,0.52,1,170109.25,1006.63,4
100243,11,9,2,136,0.34,1.36,4,193423.28,286.04,9
100244,12,10,2,57,0.41,0.62,5,92634.18,2422.04,0
100245,9,1,3,118,0.93,1.27,5,77664.27,101.78,6
100246,14,1,2,192,0.96,1.25,5,181597.01,762.5,2
100247,13,2,1,134,0.11,0.58,3,62920.98,475.77,9
100248,11,10,1,32,0.49,1.34,4,32861.75,1648.58,10
100249,8,2,3,170,0.3,1.38,1,134614.04,2292.12,3
100250,15,5,2,131,0.25,1.18,0,135600.64,2288.3,1
100251,6,7,1,65,0.13,0.82,5,158598.19,496.61,1
100252,6,6,4,136,0.79,0.73,2,39926.23,286.28,2
100253,4,8,1,67,0.66,0.84,1,41590.77,125.14,6
100254,10,2,2,184,0.27,0.86,4,55638.43,1471.79,6
100255,6,7,1,51,0.19,0.48,4,100568.68,1577.48,0
100256,15,3,4,96,0.39,1.24,1,110549.59,645.22,6
100257,12,1,2,237,0.39,1.32,3,194411.76,1960.57,2
100258,7,9,3,224,0.99,1.06,1,135663.79,2264.5,1
100259,15,3,1,65,0.24,1.28,0,122957.25,277.78,2
100260,13,10,3,44,0.35,1.2,0,55329.96,545.67,2
100261,1,3,2,92,0.42,1.1,0,122533.23,2179.76,3
100262,1,4,4,159,0.92,0.33,2,46600.03,1480.54,3
100263,4,0,2,64,0.14,0.59,2,1836.83,930.39,7
100264,2,9,1,123,0.32,0.66,3,153841.49,2162.19,9
100265,14,7,0,125,0.91,0.35,1,146600.18,484.73,6
100266,9,9,1,91,0.47,0.84,0,118051.04,1928.2,7
100267,6,2,2,91,0.19,1.15,3,197138.96,1289.21,2
100268,6,0,1,167,0.42,0.96,0,37012.48,1841.41,9
100269,11,0,0,81,0.34,1.24,2,143601.02,1476.79,5
100270,6,10,3,198,0.72,1.47,3,165057.1,2128.14,1
100271,3,10,2,93,0.25,0.7,2,152915.89,1428.96,0
100272,7,2,2,142,0.42,0.54,3,75107.24,312.69,7
100273,2,1,2,214,0.48,0.35,1,93766.8,1513.83,4
100274,13,10,1,83,0.88,0.72,3,154124.46,361.21,1
100275,10,3,2,192,0.75,0.47,4,65581.19,2405.03,7
100276,8,10,4,28,0.92,1.46,3,125667.85,2304.87,0
100277,15,2,5,233,0.7,0.73,5,13090.42,1576.87,10
100278,2,3,3,175,0.55,0.76,4,122723.61,648.38,8
100279,12,0,2,50,0.55,1.43,4,93563.8,1970.83,9
100280,7,0,0,184,0.16,1.44,0,153923.19,1851.14,2
100281,2,3,0,198,0.12,0.91,4,157090.91,1190.11,2
100282,11,9,2,153,0.68,0.76,0,31088.92,1604.88,4
100283,7,8,2,68,0.71,1.34,0,99542.37,353.78,0
100284,4,10,1,128,0.84,1.17,2,177425.18,1529.88,3
100285,10,9,1,118,0.77,0.37,5,129538.23,660.61,8
100286,4,9,0,182,0.2,1.28,5,31923.84,2153.18,5
100287,9,10,3,164,0.16,1.1,2,175909.39,2365.08,1
100288,14,9,1,178,0.67,0.96,1,117543.6,881.38,0
100289,3,8,0,191,0.87,0.53,2,93938.85,1526.48,1
100290,7,0,1,66,0.9,0.61,2,135464.21,777.88,3
100291,12,9,1,132,0.25,0.72,3,144700.16,454.3,6
100292,14,2,2,231,0.7,0.92,4,64206.85,1145.09,0
100293,12,5,3,178,0.73,1.09,5,103376.87,487.53,10
100294,14,0,1,64,0.47,1.34,2,6002.3,1018.83,8
100295,6,10,2,194,0.38,0.38,0,118042.13,101.31,1
100296,12,7,0,112,0.82,0.69,3,111075.15,1252.18,6
100297,6,5,0,197,0.78,1.38,3,6587.61,1612.52,9
100298,15,5,1,116,0.14,0.35,3,20750.13,1235.47,0
100299,10,1,4,73,0.54,1.22,5,154598.72,1966.52,10
100300,7,1,0,39,0.25,1.06,5,42276.15,1876.92,8
100301,8,8,1,202,0.77,0.45,1,13457.18,2420.98,1
100302,1,3,1,86,0.94,0.67,1,17303.14,721.15,6
100303,9,10,2,149,0.7,1.16,5,131064.61,196.59,2
100304,6,3,4,50,0.45,0.87,0,84511.36,368.42,1
100305,4,1,3,237,0.98,0.93,5,21409.47,1131.68,1
100306,1,9,4,144,0.33,1.46,5,154204.54,424.39,10
100307,3,6,2,229,0.79,0.53,4,170661.65,1992.57,5
100308,9,3,1,204,0.4,0.54,1,53468.64,1788.67,6
100309,11,3,4,238,0.24,0.78,4,159416.28,1241.36,1
100310,13,8,1,112,0.53,0.96,3,81223.78,1787.64,3
100311,14,4,0,138,0.25,1.11,4,42787.34,397.27,6
100312,12,8,1,63,0.59,1.23,4,93809.64,963.23,1
100313,2,8,1,42,0.15,0.36,0,189913.58,536.16,9
100314,15,3,1,93,0.18,0.56,1,88245.29,253.93,0
100315,9,2,2,167,0.81,1.35,3,60446.51,117.05,8
100316,9,4,4,36,0.59,1.04,3,153747.55,2204.61,6
100317,12,3,3,135,0.86,0.38,3,22193.69,1418.46,2
100318,2,8,2,15,0.42,0.95,0,25127.8,693.52,1
100319,2,7,3,181,0.83,0.4,0,111601.59,1119.1,5
100320,7,8,1,19,0.65,0.83,4,26108.14,2409.45,9
100321,11,1,2,25,0.48,0.93,0,20684.37,1925.05,7
100322,1,2,2,182,0.33,1.09,1,140383.63,277.89,1
100323,3,3,2,170,0.3,1.12,3,146197.23,841.95,7
100324,5,9,0,7,0.73,0.77,1,40599.47,2160.88,4
100325,12,10,0,151,0.68,0.82,3,124534.75,522.93,7
100326,10,1,4,59,0.26,1.35,2,32889.33,2129.16,4
100327,15,3,1,190,0.28,0.58,2,196572.92,967.61,10
100328,6,4,3,233,0.8,1.15,2,136472.27,468.69,10
100329,2,5,0,223,0.58,1.39,2,148704.27,1788.18,0
100330,7,7,1,212,0.85,0.4,4,20909.69,904.41,6
100331,2,5,3,103,0.4,0.9,2,1745.98,1962.53,0
100332,12,7,5,98,0.92,1.1,5,61282.51,1830.32,8
100333,15,8,1,190,0.85,0.89,5,168535.71,1227.26,2
100334,9,1,3,209,0.52,0.32,3,26672.3,1513.66,9
100335,6,0,1,47,0.84,0.84,0,4386.81,1519.28,7
100336,4,2,1,175,0.51,0.85,2,16793.52,2406.24,9
100337,11,1,1,236,0.38,0.87,3,95044.03,1886.58,3
100338,14,2,0,60,0.63,0.45,5,91493.0,1004.58,9
100339,5,4,3,120,0.89,0.36,5,49085.6,1479.23,5
100340,15,5,6,136,0.97,0.68,4,166980.24,731.73,0
100341,12,6,5,157,0.35,0.84,0,48420.78,1605.05,4
100342,10,6,4,70,0.54,0.7,2,41725.63,1113.46,9
100343,10,1,2,218,0.94,1.26,2,196317.86,371.15,4
100344,7,8,2,200,0.9,1.44,1,127748.46,1727.32,8
100345,11,0,2,77,0.85,1.35,3,120732.26,424.64,4
100346,15,2,3,213,0.73,1.45,3,55659.03,330.79,10
100347,11,9,2,8,0.54,0.32,4,58793.26,894.81,9
100348,12,0,4,114,0.25,0.89,4,157362.18,943.14,6
100349,15,1,2,23,0.28,1.13,5,173200.69,1040.98,6
100350,13,10,2,72,0.32,1.35,1,189225.29,755.85,4
100351,10,8,4,176,0.96,1.18,4,128596.71,2102.82,1
100352,1,3,4,134,0.45,0.9,5,97898.06,252.73,9
100353,14,1,2,138,0.57,0.66,2,143340.26,2389.43,2
100354,9,10,1,7,0.39,0.33,3,186162.02,2058.14,2
100355,13,9,2,80,0.41,0.6,3,37947.1,322.31,9
100356,14,4,1,58,0.25,0.47,3,151744.83,1137.98,7
100357,12,2,0,54,0.54,1.21,3,86652.15,1832.93,5
100358,1,3,0,78,0.34,0.61,5,133906.42,1630.51,4
100359,5,9,2,235,0.12,1.49,4,17855.85,2361.21,8
100360,9,9,1,98,0.24,0.82,3,7327.63,199.28,1
100361,15,5,3,156,0.15,1.4,4,84060.35,707.62,1
100362,5,3,1,141,0.17,0.69,1,88375.78,100.06,4
100363,8,3,2,123,0.73,0.59,0,34166.09,924.59,4
100364,11,6,1,123,0.83,1.03,3,28194.57,2220.36,2
100365,6,0,2,133,0.71,1.41,1,173133.32,1249.85,9
100366,10,7,5,78,0.36,0.68,4,83287.18,1652.83,3
100367,10,10,3,39,0.61,1.0,3,48037.96,411.21,9
100368,6,9,1,165,0.23,0.59,1,150502.62,2129.77,4
100369,7,8,2,205,0.42,0.62,4,99624.68,1954.57,5
100370,5,4,1,117,0.66,1.5,1,84293.39,830.56,7
100371,5,6,2,88,0.68,1.06,0,36694.24,792.67,5
100372,11,3,1,190,0.81,0.78,4,28574.66,1269.92,7
100373,7,4,1,28,0.83,1.19,3,166316.67,590.35,1
100374,1,10,0,78,0.97,1.28,5,179908.05,1013.08,10
100375,4,10,3,97,0.44,1.03,0,112136.96,981.86,0
100376,15,4,3,96,0.77,0.63,2,12440.08,2175.71,6
100377,4,1,3,167,0.69,1.47,1,1997.0,2303.66,1
100378,11,7,2,166,0.49,0.92,2,156699.03,2012.07,4
100379,15,1,4,172,0.97,1.22,4,193541.99,352.96,9
100380,10,6,3,89,1.0,1.45,0,34374.47,1575.03,6
100381,15,10,2,199,0.96,1.27,3,181208.8,882.06,5
100382,2,10,5,81,0.55,0.81,0,38853.24,349.11,3
100383,10,8,2,137,0.22,0.86,1,88892.46,2442.26,0
100384,12,1,1,239,0.49,0.7,3,112529.11,2161.92,3
100385,12,6,2,234,0.26,0.83,3,25119.77,2053.89,5
100386,3,1,3,140,0.78,0.61,1,3010.32,759.75,3
100387,15,6,1,228,0.19,0.95,4,141083.29,2413.35,2
100388,7,5,0,143,0.45,1.45,1,80500.68,938.6,0
100389,6,1,1,224,0.83,1.03,5,71472.71,1911.58,9
100390,13,7,1,59,0.96,1.43,2,67736.56,2363.0,10
100391,10,0,1,16,0.2,0.49,3,49346.38,1901.84,2
100392,10,2,3,229,0.74,1.27,2,99232.49,1597.16,6
100393,15,6,3,65,0.91,0.92,5,151328.29,898.43,5
100394,7,7,2,214,0.19,1.05,2,105647.94,2114.6,7
100395,8,0,2,153,0.95,1.15,0,32124.15,354.87,5
100396,11,9,1,135,0.4,1.24,5,179775.47,581.94,6
100397,6,8,1,85,0.1,1.04,3,177612.25,2451.23,8
100398,5,1,4,10,0.18,1.05,1,143405.7,2151.45,3
100399,6,1,1,62,0.67,1.25,1,85318.9,1925.33,3
100400,8,7,3,32,0.55,1.28,3,148369.25,1822.57,8
100401,2,0,1,85,0.26,0.73,5,41346.34,1822.51,6
100402,6,8,2,209,0.16,1.27,3,6010.83,1691.18,2
100403,9,6,4,66,0.51,0.42,5,8400.15,736.41,7
100404,7,5,3,158,0.66,0.92,5,197096.0,2345.71,6
100405,3,7,2,58,0.38,0.73,3,154380.34,1621.12,9
100406,4,10,1,58,0.77,0.77,3,179450.96,287.61,5
100407,5,0,0,224,0.9,1.1,3,176712.47,2123.09,0
100408,2,3,3,73,0.77,0.48,5,132373.35,1980.3,2
100409,6,9,2,21,0.6,1.44,0,25230.12,1497.09,9
100410,10,7,1,142,0.61,0.41,2,22875.72,1232.34,1
100411,4,2,2,136,0.19,1.45,0,199396.35,1417.88,9
100412,15,7,0,221,0.19,1.1,1,22712.05,477.81,1
100413,12,4,2,163,0.36,1.3,5,75500.42,2046.23,0
100414,1,3,2,225,0.26,0.48,5,139563.9,672.73,7
100415,15,10,1,170,0.28,0.71,5,18823.96,2051.48,2
100416,9,9,1,139,0.24,0.46,1,95220.89,2175.79,3
100417,4,5,0,21,0.92,0.37,5,88809.74,269.26,9
100418,11,10,3,25,0.6,1.44,4,5886.84,2395.62,1
100419,12,1,3,224,0.88,1.43,0,56788.38,2493.15,1
100420,2,4,6,120,0.72,0.63,2,73187.42,1893.61,7
100421,2,10,2,219,0.23,0.92,3,93736.27,963.88,8
100422,9,1,1,200,0.57,0.57,4,104329.01,2385.47,9
100423,13,2,0,69,0.84,0.34,4,134608.43,733.0,10
