ApplicationID,CustomerID,ApplicationDate,DecisionDate,LoanPurpose,LoanAmount,LoanTermMonths,InterestRate,Approved,Status,IsFraudApp,FraudReason,ApplicationLocation,ApplicationDeviceID
200026,102369,2024-08-07,2024-08-26,Debt consolidation,7000,48,14.67,1,Active,0,,Langley,dvc_74900
200027,100037,2023-10-31,2023-11-18,Car Loan,19000,36,11.81,1,Active,0,,Surrey,dvc_36341
200028,100614,2024-12-06,2024-12-29,Debt consolidation,19000,12,12.14,1,Active,0,,Richmond,dvc_18976
200029,104200,2024-10-15,2024-10-30,Home renovation,39000,36,10.68,1,Active,0,,Penticton,dvc_68236
200030,101294,2024-11-24,2024-12-14,Emergency,10000,24,10.86,0,NotApproved,0,,Surrey,dvc_85804
200031,101776,2024-07-26,2024-08-20,Car Loan,5000,60,10.99,0,NotApproved,0,,Richmond,dvc_39766
200032,106341,2024-04-19,2024-05-14,Home renovation,8000,12,8.14,0,NotApproved,0,,Burnaby,app_dvc_106341
200033,103796,2023-11-17,2023-12-10,Car Loan,9000,12,10.78,1,Closed,0,,New Westminster,dvc_79263
200034,103771,2024-05-12,2024-05-27,Emergency,1000,12,12.66,1,Closed,0,,Burnaby,dvc_58973
200035,104765,2024-08-29,2024-09-23,Debt consolidation,22000,48,13.76,0,NotApproved,1,Identity,Port Coquitlam,dvc_89801
200036,101648,2024-01-01,2024-01-19,Wedding,3000,60,11.57,0,NotApproved,0,,Vancouver,dvc_23560
200037,102816,2025-02-16,2025-03-10,Debt consolidation,49000,12,11.63,1,Active,0,,Maple Ridge,dvc_21527
200038,102894,2025-04-04,2025-04-25,Debt consolidation,26000,60,11.76,1,Active,0,,Richmond,dvc_30023
200039,108623,2023-06-04,2023-06-25,Medical expenses,25000,48,10.79,1,Active,0,,Richmond,dvc_99482
200040,101022,2025-01-08,2025-01-28,Car Loan,29000,36,11.76,1,Active,0,,Burnaby,dvc_40480
200041,105710,2025-02-13,2025-03-10,Medical expenses,24000,24,13.61,1,Active,0,,Surrey,dvc_44852
200042,105687,2023-10-01,2023-10-16,Emergency,5000,60,11.29,0,NotApproved,0,,Burnaby,dvc_92080
200043,100310,2024-11-22,2024-12-14,Wedding,23000,24,11.56,0,NotApproved,0,,Burnaby,dvc_60204
200044,107775,2024-04-22,2024-05-15,Home renovation,36000,48,10.84,0,NotApproved,0,,Surrey,dvc_28492
200045,101966,2024-02-18,2024-03-07,Car Loan,9000,12,15.83,0,NotApproved,0,,Surrey,dvc_43507
200046,109082,2023-12-31,2024-01-25,Emergency,3000,36,12.07,0,NotApproved,0,,Kelowna,dvc_75341
200047,108433,2023-09-27,2023-10-16,Debt consolidation,28000,12,14.06,1,Closed,1,Identity,Langley,dvc_75655
200048,108209,2023-11-13,2023-12-01,Wedding,8000,60,10.68,0,NotApproved,0,,Nanaimo,dvc_36980
200049,109247,2025-01-12,2025-01-31,Wedding,21000,24,10.33,0,NotApproved,0,,White Rock,dvc_90693
200050,106486,2024-02-15,2024-03-09,Medical expenses,4000,12,11.33,1,Closed,0,,Surrey,dvc_14097
200051,106040,2023-08-17,2023-09-04,Emergency,8000,48,11.56,0,NotApproved,0,,Abbotsford,dvc_44192
200052,107634,2023-08-10,2023-09-02,Car Loan,18000,24,11.35,0,NotApproved,0,,Kamloops,dvc_92061
200053,109644,2024-03-20,2024-04-07,Debt consolidation,45000,12,13.73,0,NotApproved,1,Location,Chilliwack,dvc_22180
200054,107863,2023-08-13,2023-09-01,Debt consolidation,2000,24,11.65,1,Active,0,,Maple Ridge,dvc_71123
200055,104027,2024-03-03,2024-03-26,Wedding,13000,12,11.37,0,NotApproved,0,,Langley,dvc_48295
200056,100377,2025-03-18,2025-04-05,Travel,1000,36,11.34,1,Active,0,,Abbotsford,dvc_44487
200057,102993,2024-02-21,2024-03-07,Debt consolidation,22000,12,11.22,0,NotApproved,0,,Burnaby,dvc_59820
200058,107780,2024-09-09,2024-09-27,Car Loan,10000,24,11.07,1,Active,0,,Vancouver,dvc_35221
200059,101852,2023-12-21,2024-01-12,Wedding,25000,12,11.03,1,Closed,0,,Coquitlam,dvc_81908
200060,104845,2025-02-14,2025-03-02,Debt consolidation,27000,60,14.67,0,NotApproved,0,,Langley,dvc_23270
200061,104774,2023-07-02,2023-07-19,Car Loan,13000,60,12.48,1,Active,0,,Abbotsford,dvc_17571
200062,106097,2024-12-16,2025-01-05,Wedding,4000,48,13.05,0,NotApproved,0,,Abbotsford,dvc_91453
200063,108003,2024-05-20,2024-06-12,Medical expenses,20000,24,10.52,1,Active,0,,Kelowna,dvc_46619
200064,107252,2024-07-19,2024-08-07,Emergency,5000,48,10.12,1,Active,0,,Burnaby,dvc_68918
200065,100811,2023-09-03,2023-09-23,Car Loan,6000,12,12.2,0,NotApproved,0,,Surrey,dvc_14471
200066,105006,2025-05-15,2025-06-03,Debt consolidation,32000,24,11.9,1,Pending,0,,Vancouver,dvc_49854
200067,101558,2024-03-19,2024-04-06,Debt consolidation,15000,24,12.0,1,Default,0,,Vancouver,dvc_78919
200068,108940,2023-07-30,2023-08-15,Debt consolidation,31000,24,10.08,1,Active,0,,Kelowna,dvc_74872
200069,101398,2024-07-31,2024-08-18,Debt consolidation,44000,12,10.91,1,Active,0,,Vancouver,dvc_25274
200070,108421,2024-01-12,2024-02-03,Travel,9000,48,11.71,1,Active,0,,Surrey,dvc_42365
200071,101701,2025-03-04,2025-03-23,Car Loan,6000,12,15.15,0,NotApproved,0,,Vancouver,dvc_62487
200072,102854,2024-09-29,2024-10-16,Home renovation,33000,48,14.98,0,NotApproved,0,,Kamloops,dvc_33205
200073,100302,2024-09-21,2024-10-06,Home renovation,37000,12,11.74,0,NotApproved,0,,Surrey,dvc_45734
200074,102144,2025-04-16,2025-05-03,Medical expenses,14000,12,10.34,1,Active,0,,Burnaby,app_dvc_102144
200075,104906,2025-03-29,2025-04-23,Debt consolidation,13000,36,15.13,0,NotApproved,0,,New Westminster,dvc_82751
200076,109575,2024-03-05,2024-03-30,Car Loan,2000,48,11.83,1,Active,0,,Surrey,app_dvc_109575
200077,109553,2024-08-20,2024-09-12,Emergency,3000,12,11.37,1,Active,0,,Surrey,dvc_73385
200078,100899,2023-10-26,2023-11-12,Car Loan,20000,48,7.96,0,NotApproved,0,,Richmond,dvc_49480
200079,108652,2024-11-27,2024-12-20,Emergency,3000,48,11.92,1,Active,0,,Abbotsford,dvc_55264
200080,105452,2023-07-23,2023-08-08,Car Loan,12000,36,12.08,1,Active,0,,Abbotsford,app_dvc_105452
200081,104426,2023-07-04,2023-07-29,Wedding,9000,60,14.56,1,Active,0,,Vancouver,dvc_22764
200082,107988,2024-10-24,2024-11-08,Debt consolidation,2000,12,16.1,1,Active,0,,Nanaimo,dvc_82350
200083,102063,2023-11-23,2023-12-16,Emergency,7000,36,12.34,1,Active,0,,Vancouver,dvc_44117
200084,104774,2025-01-19,2025-02-13,Debt consolidation,26000,36,12.89,1,Active,0,,Abbotsford,dvc_17571
200085,103605,2024-01-09,2024-02-01,Car Loan,21000,60,11.06,1,Active,0,,Kelowna,dvc_87427
200086,108855,2023-07-30,2023-08-24,Car Loan,5000,36,11.43,0,NotApproved,0,,Abbotsford,dvc_75886
200087,101911,2025-03-24,2025-04-12,Travel,13000,60,10.37,0,NotApproved,0,,Burnaby,dvc_57776
200088,101630,2023-11-26,2023-12-14,Debt consolidation,43000,36,11.22,1,Active,0,,Vancouver,app_dvc_101630
200089,108101,2025-04-02,2025-04-25,Debt consolidation,4000,24,10.15,1,Active,0,,Vancouver,dvc_21572
200090,108522,2023-08-16,2023-09-03,Wedding,14000,48,10.28,0,NotApproved,0,,Abbotsford,dvc_10273
200091,104696,2024-03-20,2024-04-06,Debt consolidation,30000,36,11.99,0,NotApproved,0,,Kelowna,dvc_58971
200092,107599,2023-12-31,2024-01-25,Wedding,7000,24,7.71,1,Active,0,,Richmond,dvc_72813
200093,109737,2024-05-16,2024-06-10,Wedding,12000,36,10.46,0,NotApproved,1,Document,Surrey,dvc_67994
200094,108237,2024-10-04,2024-10-20,Wedding,29000,60,11.34,0,NotApproved,0,,Langley,dvc_68750
200095,106755,2025-03-07,2025-03-25,Wedding,15000,60,12.15,0,NotApproved,0,,Burnaby,dvc_15015
200096,105424,2024-03-08,2024-03-25,Car Loan,10000,12,11.4,1,Closed,0,,North Vancouver,dvc_84943
200097,103532,2023-10-03,2023-10-19,Car Loan,19000,48,10.4,0,NotApproved,1,Location,Langley,dvc_82926
200098,106983,2024-03-12,2024-03-30,Debt consolidation,2000,48,11.75,0,NotApproved,0,,Surrey,app_dvc_106983
200099,103986,2024-02-29,2024-03-25,Debt consolidation,18000,24,10.59,0,NotApproved,0,,Richmond,dvc_69235
200100,103986,2023-11-08,2023-11-24,Emergency,2000,24,10.65,1,Active,1,Location,Kelowna,dvc_69235
200101,107418,2024-10-31,2024-11-24,Wedding,15000,24,11.23,1,Active,0,,Kelowna,dvc_65989
200102,101177,2023-12-23,2024-01-08,Debt consolidation,44000,24,15.19,0,NotApproved,0,,Vancouver,dvc_16813
200103,102820,2024-11-25,2024-12-10,Debt consolidation,10000,36,10.61,1,Active,0,,Abbotsford,dvc_66101
200104,106217,2025-05-26,2025-06-20,Wedding,11000,60,11.6,0,Pending,0,,Vancouver,dvc_10955
200105,109003,2024-11-10,2024-12-02,Car Loan,16000,12,11.48,0,NotApproved,0,,Langley,dvc_81499
200106,104970,2024-10-14,2024-11-03,Travel,5000,36,11.99,0,NotApproved,0,,Langley,dvc_72665
200107,104297,2023-07-24,2023-08-10,Home renovation,17000,36,10.32,1,Active,0,,Nanaimo,dvc_19611
200108,100356,2024-09-14,2024-10-06,Debt consolidation,9000,48,11.18,1,Active,0,,Kamloops,dvc_36552
200109,103090,2024-10-04,2024-10-27,Debt consolidation,20000,60,12.75,1,Active,0,,Richmond,dvc_34212
200110,101777,2023-10-09,2023-11-02,Home renovation,36000,60,11.32,1,Active,0,,Vancouver,dvc_97994
200111,101178,2024-07-17,2024-08-07,Debt consolidation,48000,60,10.61,1,Active,0,,Vancouver,dvc_42475
200112,104205,2024-12-16,2025-01-02,Car Loan,25000,48,14.33,0,NotApproved,0,,Vancouver,dvc_25411
200113,101563,2023-12-06,2023-12-29,Car Loan,7000,60,10.05,0,NotApproved,0,,Richmond,dvc_52325
200114,109030,2023-10-03,2023-10-26,Wedding,30000,60,11.17,0,NotApproved,0,,Vancouver,app_dvc_109030
200115,100498,2024-05-23,2024-06-11,Car Loan,9000,36,14.81,1,Default,0,,Vancouver,dvc_27852
200116,101913,2024-03-19,2024-04-10,Wedding,22000,12,10.7,0,NotApproved,0,,Prince George,dvc_84411
200117,100509,2023-12-25,2024-01-17,Car Loan,23000,36,14.3,0,NotApproved,0,,Vancouver,dvc_72140
200118,109425,2025-05-17,2025-06-11,Wedding,23000,36,10.05,0,Pending,0,,Surrey,dvc_63594
200119,109314,2024-10-08,2024-10-24,Debt consolidation,9000,36,11.56,0,NotApproved,0,,Burnaby,dvc_94430
200120,104819,2024-11-14,2024-12-04,Car Loan,18000,36,14.0,0,NotApproved,0,,Vancouver,dvc_46748
200121,103920,2024-08-04,2024-08-27,Wedding,1000,24,10.97,1,Active,0,,Richmond,dvc_65371
200122,101756,2023-11-16,2023-12-10,Travel,8000,12,11.13,1,Closed,0,,Port Coquitlam,dvc_86002
200123,101044,2024-11-11,2024-12-02,Home renovation,39000,60,11.53,0,NotApproved,0,,Abbotsford,dvc_22047
200124,101653,2024-02-05,2024-02-28,Wedding,3000,48,10.53,1,Active,0,,Nanaimo,dvc_21216
200125,106326,2025-03-14,2025-04-03,Car Loan,6000,36,14.1,0,NotApproved,0,,Victoria,dvc_52388
200126,104420,2025-01-15,2025-02-08,Wedding,4000,24,10.85,1,Active,0,,Langley,dvc_50953
200127,109700,2025-01-21,2025-02-09,Car Loan,25000,12,11.71,0,NotApproved,0,,Vancouver,dvc_72324
200128,105163,2023-07-12,2023-07-29,Wedding,15000,48,11.38,0,NotApproved,0,,Victoria,dvc_28874
200129,107772,2023-11-23,2023-12-09,Car Loan,7000,24,8.83,1,Active,0,,Surrey,dvc_26418
200130,108077,2025-02-26,2025-03-20,Emergency,4000,48,14.85,1,Active,0,,Richmond,dvc_89692
200131,102737,2023-06-23,2023-07-18,Debt consolidation,24000,24,11.54,0,NotApproved,0,,Abbotsford,dvc_81997
200132,109747,2025-02-13,2025-03-02,Debt consolidation,17000,36,13.52,0,NotApproved,0,,North Vancouver,dvc_43370
200133,106059,2024-01-30,2024-02-20,Car Loan,18000,12,10.2,0,NotApproved,0,,Kelowna,dvc_79805
200134,102720,2024-04-05,2024-04-30,Car Loan,11000,24,10.58,0,NotApproved,0,,Nanaimo,dvc_38734
200135,102271,2023-12-23,2024-01-07,Car Loan,10000,60,10.83,1,Active,0,,Richmond,dvc_44729
200136,100227,2023-07-20,2023-08-12,Travel,4000,36,11.16,1,Active,0,,Surrey,dvc_61191
200137,101195,2023-11-09,2023-11-26,Emergency,10000,12,10.42,0,NotApproved,0,,Kamloops,dvc_84444
200138,104059,2025-05-08,2025-05-24,Debt consolidation,8000,36,11.25,0,NotApproved,0,,Abbotsford,app_dvc_104059
200139,109684,2024-08-12,2024-08-30,Debt consolidation,4000,24,15.95,0,NotApproved,0,,Nanaimo,app_dvc_109684
200140,103826,2025-04-09,2025-05-04,Wedding,13000,12,13.9,1,Active,0,,Langford,dvc_48124
200141,102965,2024-12-07,2024-12-27,Home renovation,1000,60,11.68,0,NotApproved,0,,Maple Ridge,app_dvc_102965
200142,109695,2024-01-29,2024-02-22,Travel,4000,48,11.95,1,Active,0,,Campbell River,dvc_66263
200143,108363,2023-11-11,2023-11-27,Car Loan,5000,48,13.25,0,NotApproved,0,,Chilliwack,dvc_53905
200144,106716,2024-10-20,2024-11-06,Emergency,1000,12,11.96,0,NotApproved,0,,Campbell River,dvc_38925
200145,100858,2024-06-20,2024-07-14,Car Loan,20000,60,12.74,1,Active,0,,New Westminster,dvc_45738
200146,107736,2024-04-01,2024-04-18,Home renovation,16000,24,10.77,0,NotApproved,0,,White Rock,dvc_91342
200147,101122,2025-04-16,2025-05-04,Travel,12000,24,10.13,1,Active,0,,Surrey,dvc_22539
200148,109557,2025-05-09,2025-05-25,Debt consolidation,9000,48,14.75,0,NotApproved,0,,Surrey,app_dvc_109557
200149,103282,2024-10-10,2024-10-25,Travel,17000,48,11.25,1,Active,0,,Nanaimo,dvc_45629
200150,104784,2024-05-20,2024-06-11,Travel,6000,24,12.14,0,NotApproved,0,,Nanaimo,dvc_58942
200151,105034,2023-09-17,2023-10-10,Debt consolidation,36000,24,15.7,0,NotApproved,0,,West Vancouver,dvc_15553
200152,107636,2023-12-21,2024-01-09,Car Loan,27000,60,13.94,1,Active,0,,Coquitlam,dvc_40066
200153,104685,2023-09-15,2023-10-06,Medical expenses,27000,60,12.03,0,NotApproved,0,,Chilliwack,dvc_44166
200154,105221,2023-12-07,2023-12-28,Car Loan,7000,24,13.86,0,NotApproved,0,,Vancouver,dvc_85549
200155,104749,2024-12-28,2025-01-21,Debt consolidation,46000,60,13.63,1,Active,0,,Kelowna,dvc_20853
200156,102206,2024-08-08,2024-09-02,Debt consolidation,18000,60,10.97,1,Active,0,,Langley,app_dvc_102206
200157,104934,2024-07-21,2024-08-10,Emergency,2000,48,13.26,1,Active,0,,North Vancouver,dvc_11728
200158,109264,2023-12-20,2024-01-10,Debt consolidation,10000,36,14.77,1,Default,0,,Kelowna,dvc_35520
200159,102562,2024-12-30,2025-01-15,Wedding,2000,12,12.0,1,Active,0,,Prince George,dvc_83039
200160,109640,2024-08-26,2024-09-17,Debt consolidation,21000,24,10.71,1,Active,0,,Richmond,dvc_78040
200161,102620,2024-04-26,2024-05-12,Debt consolidation,7000,48,11.35,1,Active,0,,Burnaby,dvc_10791
200162,101644,2025-04-26,2025-05-19,Travel,3000,48,10.04,1,Active,0,,Kelowna,dvc_34446
200163,102774,2024-08-25,2024-09-11,Travel,3000,12,10.88,1,Active,0,,Vancouver,dvc_14512
200164,103410,2024-04-04,2024-04-22,Debt consolidation,2000,24,10.81,0,NotApproved,0,,Langley,dvc_55497
200165,108304,2024-03-06,2024-03-23,Home renovation,39000,60,15.64,1,Active,0,,Surrey,dvc_45392
200166,100072,2023-11-16,2023-12-08,Medical expenses,7000,60,11.3,1,Active,0,,Surrey,dvc_90183
200167,102677,2023-09-14,2023-10-02,Emergency,6000,48,13.97,1,Active,0,,Chilliwack,dvc_46166
200168,104086,2024-06-28,2024-07-21,Medical expenses,16000,24,10.47,0,NotApproved,0,,Langley,dvc_67485
200169,105970,2024-06-16,2024-07-09,Wedding,25000,60,10.26,1,Active,0,,Coquitlam,dvc_84901
200170,106557,2023-08-08,2023-08-25,Medical expenses,28000,24,10.1,1,Active,0,,Victoria,dvc_67944
200171,107791,2025-01-06,2025-01-31,Wedding,6000,24,10.26,0,NotApproved,0,,Vancouver,dvc_32677
200172,101406,2023-07-05,2023-07-27,Home renovation,9000,60,10.25,0,NotApproved,0,,Nanaimo,dvc_59669
200173,103279,2025-03-28,2025-04-21,Medical expenses,14000,24,11.58,0,NotApproved,0,,White Rock,dvc_90311
200174,101252,2023-08-23,2023-09-14,Wedding,23000,60,10.06,0,NotApproved,1,Document,Coquitlam,dvc_22070
200175,101092,2023-09-25,2023-10-14,Home renovation,9000,36,15.38,1,Active,0,,Vancouver,dvc_72618
200176,100445,2024-09-28,2024-10-14,Emergency,4000,12,10.08,1,Active,0,,Vancouver,dvc_68949
200177,104640,2023-10-01,2023-10-19,Emergency,2000,12,10.56,1,Default,0,,Surrey,dvc_81254
200178,106507,2025-02-03,2025-02-27,Emergency,7000,24,8.37,1,Active,0,,West Vancouver,dvc_45136
200179,108558,2024-11-08,2024-12-03,Debt consolidation,5000,12,11.84,0,NotApproved,0,,Vancouver,dvc_87695
200180,108011,2024-04-21,2024-05-16,Wedding,5000,36,11.51,0,NotApproved,0,,Surrey,dvc_85282
200181,100474,2024-09-04,2024-09-26,Emergency,10000,24,15.08,0,NotApproved,0,,Kelowna,dvc_79059
200182,108542,2023-07-18,2023-08-05,Car Loan,12000,36,10.59,1,Active,0,,Langley,dvc_12326
200183,102952,2024-03-23,2024-04-08,Debt consolidation,10000,12,11.9,1,Default,0,,Vancouver,dvc_14441
200184,106988,2024-03-21,2024-04-15,Car Loan,10000,24,7.53,0,NotApproved,0,,Vernon,dvc_44862
200185,109269,2024-09-03,2024-09-25,Debt consolidation,43000,24,10.12,0,NotApproved,0,,Vancouver,dvc_92497
200186,102461,2024-05-27,2024-06-18,Travel,2000,48,10.29,0,NotApproved,0,,Coquitlam,dvc_82598
200187,103160,2024-07-13,2024-07-28,Wedding,4000,24,13.47,1,Active,0,,Coquitlam,dvc_26865
200188,106856,2023-12-11,2024-01-01,Car Loan,2000,60,14.39,0,NotApproved,0,,Vancouver,dvc_36092
200189,106185,2024-08-01,2024-08-23,Emergency,5000,48,11.18,0,NotApproved,0,,Burnaby,dvc_75366
200190,109880,2025-03-28,2025-04-17,Car Loan,3000,48,10.29,1,Active,0,,Langley,dvc_87433
200191,107357,2023-06-07,2023-06-28,Debt consolidation,15000,48,7.56,1,Active,0,,Surrey,dvc_72203
200192,101386,2024-11-08,2024-11-24,Car Loan,3000,60,13.36,0,NotApproved,0,,Penticton,dvc_20376
200193,107589,2024-12-09,2024-12-28,Medical expenses,28000,36,10.03,1,Active,0,,Vernon,dvc_13571
200194,105833,2023-08-26,2023-09-19,Debt consolidation,13000,60,11.92,1,Active,0,,Abbotsford,dvc_34399
200195,104695,2024-11-09,2024-12-04,Emergency,9000,36,11.86,1,Active,0,,Richmond,dvc_37661
200196,108775,2025-04-16,2025-05-01,Medical expenses,11000,60,8.23,1,Active,0,,Kamloops,dvc_26901
200197,105625,2024-07-20,2024-08-08,Car Loan,4000,48,14.68,1,Active,1,Identity,Vancouver,dvc_32636
200198,101441,2025-01-02,2025-01-27,Emergency,2000,24,11.21,0,NotApproved,0,,Victoria,dvc_55140
200199,100807,2023-12-23,2024-01-15,Car Loan,6000,36,11.0,1,Active,0,,Campbell River,dvc_84125
200200,105149,2025-01-15,2025-02-04,Debt consolidation,34000,12,10.71,0,NotApproved,0,,Surrey,dvc_89310
200201,105911,2024-10-08,2024-10-31,Home renovation,23000,36,11.35,1,Active,0,,Coquitlam,dvc_88397
200202,101209,2024-02-18,2024-03-08,Car Loan,19000,48,11.62,1,Active,0,,Burnaby,dvc_83355
200203,102348,2023-08-24,2023-09-13,Car Loan,15000,60,10.17,0,NotApproved,0,,Abbotsford,dvc_62227
200204,109935,2024-01-12,2024-02-06,Debt consolidation,47000,12,10.93,0,NotApproved,0,,Burnaby,dvc_17514
200205,102873,2024-05-01,2024-05-18,Car Loan,5000,36,11.72,1,Active,0,,Vancouver,dvc_61595
200206,101837,2023-09-29,2023-10-15,Medical expenses,10000,60,10.71,1,Active,0,,Burnaby,dvc_59630
200207,108665,2024-05-16,2024-06-01,Debt consolidation,28000,24,10.8,1,Active,0,,Vancouver,dvc_99554
200208,102191,2023-06-01,2023-06-18,Wedding,12000,48,13.65,1,Active,0,,West Vancouver,dvc_77370
200209,102327,2024-12-10,2025-01-03,Wedding,18000,24,8.27,0,NotApproved,0,,Abbotsford,dvc_80174
200210,109459,2025-04-09,2025-04-28,Debt consolidation,15000,60,13.15,1,Active,0,,Vancouver,dvc_46438
200211,104800,2024-12-08,2024-12-27,Travel,18000,24,11.95,1,Active,1,Location,Surrey,dvc_51954
200212,109836,2023-12-20,2024-01-07,Debt consolidation,44000,36,10.95,0,NotApproved,0,,Victoria,dvc_53694
200213,104299,2024-06-21,2024-07-11,Home renovation,30000,48,15.19,1,Active,0,,North Vancouver,dvc_95365
200214,102706,2025-01-10,2025-01-29,Car Loan,20000,12,10.64,0,NotApproved,0,,Vancouver,dvc_49519
200215,101505,2023-10-15,2023-10-30,Debt consolidation,35000,24,11.08,1,Active,0,,Surrey,dvc_32753
200216,101658,2024-06-27,2024-07-12,Wedding,4000,48,11.54,1,Active,0,,New Westminster,dvc_70670
200217,109451,2025-05-07,2025-05-28,Wedding,25000,48,11.47,1,Active,1,Document,Richmond,dvc_42076
200218,101037,2023-08-20,2023-09-06,Debt consolidation,33000,24,10.73,1,Active,1,Identity,New Westminster,dvc_99749
200219,109937,2025-04-05,2025-04-21,Emergency,4000,36,10.77,1,Active,0,,Burnaby,dvc_18984
200220,107705,2024-09-26,2024-10-21,Debt consolidation,32000,48,10.89,1,Active,0,,Nanaimo,dvc_26278
200221,100378,2024-01-16,2024-02-07,Debt consolidation,26000,60,13.66,0,NotApproved,0,,Richmond,dvc_92519
200222,105329,2025-03-13,2025-04-01,Car Loan,20000,48,11.61,0,NotApproved,0,,Vancouver,dvc_15126
200223,106093,2024-10-07,2024-10-30,Wedding,16000,12,15.75,1,Default,0,,Kamloops,dvc_76355
200224,106480,2024-06-27,2024-07-20,Car Loan,2000,24,11.64,1,Active,0,,Maple Ridge,dvc_87455
200225,106031,2024-09-14,2024-09-30,Emergency,4000,60,13.84,0,NotApproved,0,,Vancouver,dvc_18894
200226,105940,2023-10-31,2023-11-24,Wedding,3000,36,13.05,0,NotApproved,0,,Burnaby,dvc_80424
200227,101006,2023-09-25,2023-10-10,Debt consolidation,8000,60,11.78,1,Active,0,,Vancouver,dvc_86960
200228,100023,2024-03-15,2024-04-08,Debt consolidation,3000,60,11.35,0,NotApproved,0,,Vancouver,dvc_16470
200229,109350,2025-01-11,2025-02-01,Emergency,4000,12,11.64,0,NotApproved,0,,New Westminster,dvc_73518
200230,107549,2023-10-02,2023-10-17,Wedding,7000,36,11.74,1,Active,0,,Kelowna,dvc_29247
200231,105590,2024-07-21,2024-08-12,Debt consolidation,3000,48,10.52,0,NotApproved,0,,Vancouver,dvc_88663
200232,103882,2025-01-23,2025-02-13,Car Loan,18000,12,10.82,1,Active,0,,Surrey,dvc_39613
200233,101446,2025-05-15,2025-05-30,Debt consolidation,4000,48,11.45,1,Active,0,,Coquitlam,dvc_10204
200234,106326,2024-07-14,2024-08-02,Debt consolidation,1000,12,16.68,0,NotApproved,0,,Victoria,dvc_52388
200235,103161,2025-05-12,2025-06-06,Home renovation,10000,24,14.68,0,Pending,0,,Burnaby,dvc_33412
200236,109994,2023-05-30,2023-06-19,Car Loan,21000,48,14.01,1,Active,0,,Vancouver,dvc_85845
200237,106287,2024-09-06,2024-09-27,Car Loan,9000,60,11.62,1,Active,0,,Surrey,dvc_38753
200238,106501,2024-02-05,2024-02-25,Emergency,6000,24,10.7,1,Active,0,,Kelowna,dvc_68711
200239,101034,2024-06-12,2024-06-27,Debt consolidation,3000,36,13.89,1,Active,0,,Surrey,dvc_50442
